nomer;faza;slozhnost;istochnik;sostoyanie;nazvanie;primechanie
IMP-001;—;средний;измерено;закрыт;Регистратор сырого расхода;коммит 22aff54, строк 410
IMP-002;—;очень простой;измерено;закрыт;Сверка усечения контекста;коммит b92d5f5, строк 109
IMP-003;—;неизвестно;не назначено;отменён;Проверка гипотезы кеша;вне процентов: степень не ставится. отменён решением владельца 03.08.2026
IMP-004;1;сложный;назначено архитектором;перенесён;Инвентаризация кода, тестов, мутаций, конфигураций;перенесён в Фазу 4
IMP-005;1;сложный;назначено архитектором;перенесён;Аудит второй оси датчиков;перенесён в Фазу 4
IMP-006;1;очень простой;измерено;закрыт;Реестр дефектов и архитектурных решений;коммит dad2b66, строк 40
IMP-007;1;очень простой;измерено;закрыт;Воспроизводимый снимок исходного состояния;коммит fde33a3, строк 59
IMP-008;1;средний;назначено архитектором;закрыт;Чистое восстановление референсного сценария;закрыт актом, коммита нет
IMP-009;1;сложный;измерено;закрыт;Единый машинный State Report;коммит f661ae3, строк 711
IMP-010;1;очень простой;измерено;закрыт;Согласование факта с нормативными документами;коммит 59c1c1d, строк 16
IMP-011;1;простой;измерено;закрыт;Ратификация исходного снимка владельцем;коммит 1a4e978, строк 152
IMP-012;2;простой;измерено;закрыт;Разделение технических и продуктовых критериев;коммит 388d490, строк 115
IMP-013;2;средний;измерено;закрыт;Исполнитель продуктового оракула;коммит d694e99, строк 498
IMP-014;2;простой;измерено;закрыт;Подключение продуктовой приёмки к конвейеру;коммит 90ae5c3, строк 200
IMP-015;2;простой;измерено;закрыт;Проверка источника и полномочий намерения;коммит 82a0750, строк 249
IMP-016;2;сложный;измерено;закрыт;Запрос уточнения при неоднозначности;коммит 8fce914, строк 703
IMP-017;3;средний;измерено;закрыт;Контекстный пакет исполнителя;коммит 8a1a54c, строк 630
IMP-018;3;простой;назначено архитектором;закрыт;Измерение экономии контекстного пакета;закрыт актом, коммита нет
IMP-019;3;очень сложный;измерено;закрыт;Редакция секретов с сохранением привязки;коммит b33f00a, строк 1358
IMP-020;3;очень сложный;измерено;закрыт;Датчик секретов на боевом пути;коммит b6ccc4e, строк 2574
IMP-021;3;очень сложный;измерено;закрыт;Изоляция рабочей копии в конвейере;коммит fadb181, строк 1311
IMP-022;3;сложный;измерено;закрыт;Отрицательный контроль теста;коммит d2665c1, строк 1025
IMP-023;3;сложный;измерено;закрыт;Проверка чистоты дерева перед прогоном;коммит 51488aa, строк 774
IMP-024;4;простой;назначено архитектором;закрыт;Конфигурация рецензента;коммит dea2ee4, строк 780. config-check и страж единственности личности
IMP-025;4;средний;назначено архитектором;закрыт;Изоляция конфигурации рецензента;коммит 2660a71. изоляция судьи от проверяемого дерева
IMP-026;4;средний;назначено архитектором;закрыт;Теневой стенд рецензии;коммит 19e2021. теневой стенд: вердикт собирается, на исход не влияет
IMP-027;4;очень сложный;назначено архитектором;закрыт;Золотой набор с контрпримерами;коммит 45a9cc3. корпус 54 случая, прибор состава, тринадцать отказов
IMP-028;4;сложный;назначено архитектором;сдан;Опечатанный holdout;вердикт вынесен. holdout 18 из 54, печать поставлена, три проверки непересечения
IMP-029;4;сложный;назначено архитектором;не начат;Инъекционные канарейки;
IMP-030;4;очень сложный;назначено архитектором;не начат;Слепая калибровка обоих судей;
IMP-031;4;сложный;назначено архитектором;не начат;Калибровочный гейт;
